class,ANN_AAC,RF_AAC,KNN_AAC,ERT_AAC,XGB_AAC,ANN_DPC,RF_DPC,KNN_DPC,ERT_DPC,XGB_DPC,ANN_CKSAAGP,RF_CKSAAGP,KNN_CKSAAGP,ERT_CKSAAGP,XGB_CKSAAGP,ANN_PAAC,RF_PAAC,KNN_PAAC,ERT_PAAC,XGB_PAAC,ANN_PHYC,RF_PHYC,KNN_PHYC,ERT_PHYC,XGB_PHYC
1,0.9937327774901004,0.99,1.0,1.0,0.9988424181938171,0.9998646130636863,1.0,1.0,1.0,0.998306393623352,0.7103133218416166,0.98,1.0,0.98,0.9997442364692688,0.9779811032198394,1.0,1.0,0.98,0.9992533326148987,0.8085356071207872,0.98,1.0,0.99,0.9948429465293884
1,0.7236781896379184,0.58,0.6,0.53,0.92057204246521,0.9848888235202251,0.51,1.0,0.76,0.8649294972419739,0.3536424020139014,0.56,0.8,0.57,0.8868879079818726,0.6699632401203204,0.5,0.6,0.52,0.987785816192627,0.44613228374624575,0.73,0.2,0.75,0.8588318824768066
1,0.9267969570330048,0.42,0.6,0.45,0.4693055748939514,0.632241676123031,0.48,1.0,0.52,0.5329239368438721,0.7637572139985618,0.57,0.6,0.54,0.7093368768692017,0.5794781148560804,0.47,0.6,0.6,0.22716252505779266,0.7000782825076349,0.46,0.6,0.42,0.07785745710134506
1,0.18104925824388418,0.57,0.6,0.37,0.7724357843399048,0.8156296694956074,0.58,1.0,0.52,0.9382650852203369,0.7764017157526223,0.58,0.6,0.7,0.9007759690284729,0.4063665117307186,0.48,0.4,0.51,0.34209078550338745,0.6534993783391118,0.55,0.8,0.61,0.7473889589309692
1,0.9872126349871738,0.58,0.8,0.56,0.9572274088859558,0.9567691360834448,0.65,1.0,0.52,0.8167712092399597,0.8201043416788876,0.62,0.8,0.56,0.7911231517791748,0.8359271445107878,0.47,0.6,0.5,0.3872433602809906,0.590778425370839,0.64,0.2,0.63,0.9681921005249023
1,0.9331792205381124,0.79,1.0,0.83,0.9658236503601074,0.996774453299703,0.98,1.0,0.96,0.9935716390609741,0.940758691882229,0.89,1.0,0.89,0.9795270562171936,0.8318973572990151,0.8,1.0,0.84,0.9886445999145508,0.6724745314842021,0.82,0.2,0.73,0.9960785508155823
1,0.8522878343791047,0.68,1.0,0.65,0.932363748550415,0.996557580464628,0.9,1.0,0.9,0.985893726348877,0.8436099460595169,0.63,1.0,0.85,0.918440043926239,0.7893569755890496,0.76,1.0,0.66,0.944299042224884,0.6343349372993057,0.75,0.4,0.83,0.36432942748069763
1,0.975941133581016,0.62,0.8,0.52,0.9146426916122437,0.784823403659143,0.41,1.0,0.63,0.46527135372161865,0.8206038420259945,0.74,1.0,0.67,0.9601402282714844,0.9536958158500672,0.8,0.6,0.77,0.6160609722137451,0.6719261701668574,0.59,0.6,0.59,0.6480947732925415
1,0.19669662335095947,0.58,0.4,0.49,0.752892255783081,0.0002154029282519716,0.21,1.0,0.26,0.01138954609632492,0.05985559229908103,0.33,0.6,0.41,0.04753347113728523,0.41803855357181335,0.45,0.2,0.34,0.19515947997570038,0.2544612468300818,0.25,0.6,0.2,0.06973852962255478
1,0.985057305826264,0.45,0.6,0.51,0.44629165530204773,0.982991317041153,0.58,1.0,0.61,0.6958621144294739,0.7073833100338929,0.6,1.0,0.64,0.9700422286987305,0.7965420059399909,0.41,0.2,0.51,0.3989087641239166,0.5076897568592278,0.53,0.2,0.53,0.04632798954844475
1,0.19143147283464199,0.49,0.6,0.46,0.2690631151199341,0.43875399263438714,0.4,0.2,0.42,0.4826817810535431,0.6295703603123999,0.39,1.0,0.46,0.27739641070365906,0.2450616480183152,0.42,0.2,0.34,0.050429195165634155,0.4814212725437468,0.29,0.4,0.28,0.0027393600903451443
1,0.9795375764352553,0.64,0.8,0.64,0.996292233467102,0.7059735541298012,0.61,1.0,0.55,0.8882919549942017,0.7857658408409988,0.62,1.0,0.7,0.8587116599082947,0.9476324476900329,0.73,0.8,0.67,0.9981327652931213,0.6873132308909143,0.71,0.2,0.72,0.9669647812843323
1,0.5075717858761033,0.42,0.8,0.45,0.011868981644511223,0.995392179691765,0.66,1.0,0.78,0.9381822347640991,0.6393011263111138,0.5,1.0,0.46,0.347021222114563,0.6093774494604112,0.53,0.8,0.61,0.5164229273796082,0.6395274632184504,0.39,0.2,0.38,0.557372510433197
1,0.0015982529935125232,0.41,1.0,0.52,0.40481066703796387,0.0033145646651156534,0.35,1.0,0.3,0.1529654860496521,0.09861289263115931,0.29,0.6,0.32,0.2799294590950012,0.12034581080613455,0.63,0.4,0.67,0.9446436762809753,0.24565051415571856,0.21,0.6,0.11,0.1583395153284073
1,0.8180856797671097,0.53,0.8,0.54,0.6324537992477417,0.9961241773958419,0.53,1.0,0.87,0.9165468811988831,0.5596052178827288,0.55,1.0,0.56,0.15228742361068726,0.46466643607382135,0.57,0.6,0.5,0.1999327838420868,0.5940337834715131,0.33,0.8,0.3,0.02088245563209057
1,0.8371715210080533,0.74,0.4,0.59,0.8178828358650208,0.549090650287486,0.59,1.0,0.62,0.9190793037414551,0.41335130059378905,0.27,0.6,0.29,0.25129085779190063,0.7233774305630098,0.45,0.4,0.66,0.1195921003818512,0.704145518561881,0.14,0.2,0.14,0.0032858208287507296
1,0.9650907923830879,0.65,1.0,0.74,0.9102404713630676,0.9996680781013663,0.85,1.0,0.86,0.9866092801094055,0.7773854834390732,0.57,1.0,0.61,0.9080808758735657,0.7215474937035714,0.74,0.4,0.63,0.9799959063529968,0.4106045800228627,0.63,0.4,0.63,0.9415743350982666
1,0.9329476934566552,0.76,1.0,0.75,0.991298496723175,0.9300628709379009,0.66,1.0,0.76,0.8365492224693298,0.2682937355593781,0.38,0.8,0.45,0.2108989953994751,0.9202693339571602,0.58,0.4,0.46,0.9810652136802673,0.5017707587950182,0.72,0.6,0.74,0.9780754446983337
1,0.9834545056517855,0.75,1.0,0.81,0.975867748260498,0.999299567308498,0.79,1.0,0.84,0.9565721750259399,0.905017834466683,0.58,1.0,0.68,0.7666685581207275,0.589353505435917,0.64,0.8,0.72,0.8708707094192505,0.590399585317737,0.55,1.0,0.7,0.8428245186805725
1,0.9944472501460062,0.97,1.0,1.0,0.9977166652679443,0.9998378244345211,1.0,1.0,1.0,0.9997491240501404,0.9160109984873813,0.99,1.0,1.0,0.9998714923858643,0.9719512885641041,0.98,1.0,0.98,0.9987727999687195,0.708231273754955,0.95,0.6,0.95,0.9987999200820923
1,0.9897162434767508,0.92,1.0,0.99,0.9914218783378601,0.9999238307076602,0.97,1.0,0.99,0.9949053525924683,0.9366392518148862,0.95,1.0,0.97,0.996448278427124,0.9345661216731784,0.98,1.0,0.99,0.9989509582519531,0.7488707381963537,1.0,1.0,0.99,0.9973435997962952
1,0.9891886707630738,0.79,1.0,0.76,0.9801912307739258,0.9996933303060347,0.95,1.0,0.91,0.9792643785476685,0.9158833937870181,0.78,1.0,0.73,0.953711211681366,0.8129955835324033,0.78,0.8,0.76,0.9982782602310181,0.5560624288318842,0.45,0.8,0.44,0.32603442668914795
1,0.9927544633719567,0.78,1.0,0.91,0.9722447991371155,0.998838106945046,0.92,1.0,0.93,0.9994326233863831,0.665244802333253,0.93,1.0,0.81,0.9840223789215088,0.9991857474581076,0.93,1.0,0.94,0.9986205101013184,0.3335914578109562,0.33,0.2,0.23,0.04705848917365074
1,0.9877763073367065,0.93,1.0,0.9,0.9949170351028442,0.9911379736474423,0.85,1.0,0.86,0.9922071099281311,0.7014713534368966,0.7,0.8,0.7,0.9368619918823242,0.9997520722309279,0.93,1.0,0.9,0.9982264637947083,0.4141486693495778,0.29,0.2,0.28,0.5691767930984497
