class,ANN_AAC,RF_AAC,KNN_AAC,ERT_AAC,XGB_AAC,ANN_DPC,RF_DPC,KNN_DPC,ERT_DPC,XGB_DPC,ANN_CKSAAGP,RF_CKSAAGP,KNN_CKSAAGP,ERT_CKSAAGP,XGB_CKSAAGP,ANN_PAAC,RF_PAAC,KNN_PAAC,ERT_PAAC,XGB_PAAC,ANN_PHYC,RF_PHYC,KNN_PHYC,ERT_PHYC,XGB_PHYC
1,0.9861653588446224,0.99,1.0,1.0,0.9995891451835632,0.9999658151074543,1.0,1.0,1.0,0.9995436072349548,0.9411217987496092,0.99,1.0,1.0,0.9997238516807556,0.9941564816581123,0.98,1.0,1.0,0.9996553659439087,0.9461844354380088,0.99,1.0,1.0,0.9973682761192322
1,0.8195832903947526,0.82,0.4,0.84,0.9533922672271729,0.9996422123312125,0.87,0.4,0.98,0.9878465533256531,0.8873694320633827,0.89,0.4,0.85,0.9888197779655457,0.8841869708771725,0.84,0.8,0.93,0.9918381571769714,0.3263223281786087,0.66,0.6,0.72,0.35679492354393005
1,0.12926297097141656,0.6,0.2,0.56,0.7001436948776245,0.14261819216334698,0.53,0.0,0.43,0.11776898801326752,0.5005375347185895,0.614,0.4,0.67,0.9388979077339172,0.8893288857840252,0.55,0.4,0.53,0.8827065825462341,0.5417501844314296,0.54,0.6,0.58,0.7426788806915283
1,0.031904312508538556,0.49,0.2,0.45,0.4541860818862915,0.0007943464854315456,0.33,0.4,0.22,0.11576924473047256,0.5785925596529004,0.41,0.4,0.5,0.794837474822998,0.6995800215733268,0.42,0.4,0.47,0.43957406282424927,0.654130073177125,0.57,0.6,0.69,0.26497918367385864
1,0.9999905229851099,0.75,1.0,0.7,0.9988744854927063,0.002161925503159701,0.65,0.0,0.65,0.9913593530654907,0.17230261404748157,0.6659999999999999,0.2,0.615,0.6010178327560425,0.9428265133851906,0.87,1.0,0.65,0.9815152883529663,0.5251507281377937,0.77,0.4,0.73,0.9339207410812378
1,0.9920533645990912,0.96,1.0,0.96,0.9997431635856628,0.999998911105362,1.0,1.0,0.99,0.9995380640029907,0.9984691683822313,0.93,1.0,0.98,0.9998748302459717,0.9807845007662656,0.95,1.0,0.98,0.9997857213020325,0.8679998640372978,0.96,0.8,0.97,0.9973700046539307
1,0.9960093185904312,0.82,1.0,0.73,0.9900175929069519,0.9992078486936361,0.91,1.0,0.91,0.999850869178772,0.9991366306152693,0.97,1.0,0.96,0.9999394416809082,0.9688047628125361,0.84,1.0,0.79,0.9986683130264282,0.8373050960186077,0.95,1.0,0.96,0.9991967082023621
1,0.8534224838441313,0.66,1.0,0.58,0.8871555924415588,0.0036195825944394483,0.41,0.8,0.46,0.0725570097565651,0.9614567835582437,0.5475,0.6,0.625,0.9476519823074341,0.7988503805196491,0.59,0.6,0.53,0.981332540512085,0.7995605380575561,0.63,0.4,0.74,0.9791296124458313
1,0.9699122485869109,0.66,0.8,0.57,0.9739500284194946,0.44333043292307783,0.64,0.8,0.54,0.9546526074409485,0.9712978480651964,0.72,0.6,0.75,0.9928656816482544,0.9821135455655648,0.87,1.0,0.86,0.9986891150474548,0.1959352815021486,0.58,0.4,0.49,0.7006435394287109
1,0.6210607531100922,0.45,0.2,0.49,0.8256248235702515,0.530086534566237,0.65,1.0,0.69,0.8214589357376099,0.5487718020824521,0.57,0.6,0.66,0.820920467376709,0.5139573522028563,0.81,0.6,0.84,0.9955797791481018,0.24489855784855982,0.17,0.0,0.19,0.03948701545596123
1,0.9631363372440547,0.56,0.2,0.49,0.5045053958892822,0.7540347165185117,0.6,0.2,0.53,0.8907387852668762,0.9702263153286741,0.77,1.0,0.83,0.9614412784576416,0.8408200075002582,0.76,1.0,0.72,0.9719003438949585,0.6980724491250722,0.63,0.6,0.66,0.38906192779541016
1,0.9486219883889294,0.62,0.8,0.54,0.9796674251556396,0.9742245777456217,0.41,0.4,0.65,0.9437807202339172,0.6029023120449988,0.61,0.4,0.61,0.9409248232841492,0.94060173060439,0.68,1.0,0.62,0.6060389280319214,0.5467612398005478,0.71,0.4,0.56,0.8433632850646973
1,0.4224204974736078,0.65,0.4,0.65,0.9899251461029053,0.999999646922714,0.94,1.0,0.92,0.999576985836029,0.9187904425472491,0.73,0.6,0.73,0.9699605703353882,0.9004456457583557,0.71,1.0,0.76,0.7866697907447815,0.8653793655695293,0.9,0.2,0.87,0.9841519594192505
1,0.8945373061720082,0.69,0.8,0.66,0.9890686869621277,0.04394065231298906,0.79,0.4,0.81,0.9761471152305603,0.4882236547541301,0.7,0.2,0.58,0.8583069443702698,0.8743768663559627,0.73,0.8,0.76,0.9793100357055664,0.7610265466478048,0.57,0.6,0.51,0.6388705372810364
1,0.9997684537160715,0.68,0.6,0.61,0.8246850371360779,0.9995014473621642,0.8,0.8,0.77,0.9763430953025818,0.6615239544486643,0.86,0.8,0.72,0.9873599410057068,0.9371228630735695,0.76,0.8,0.75,0.9975053668022156,0.8876987764959143,0.84,0.6,0.76,0.9977931976318359
1,0.9812045578786057,0.63,0.8,0.57,0.9047989249229431,0.4849097702337265,0.67,0.6,0.6,0.5919808149337769,0.9273773764918773,0.82,0.6,0.75,0.9745982885360718,0.8933313199703462,0.53,0.8,0.63,0.2133869081735611,0.9217479256959259,0.89,0.8,0.88,0.9994451403617859
1,0.8536117810533883,0.7,1.0,0.71,0.9629159569740295,0.9995637569651141,0.82,0.8,0.91,0.9807568788528442,0.8349296798767157,0.72,0.8,0.7,0.46083250641822815,0.8708954717560203,0.63,1.0,0.86,0.8044871687889099,0.7124792412051303,0.78,0.4,0.74,0.9961773157119751
