,class,KNN_PAAC,KNN_DPC,ANN_DPC,KNN_CKSAAGP,ERT_CKSAAGP
70,1,0.4,0.6,0.12891978933922227,0.0,0.35
71,1,0.8,1.0,0.9612585631994104,0.4,0.69
72,1,1.0,0.6,0.035348785243354504,0.4,0.68
73,1,0.6,0.4,0.011985344791257914,0.4,0.63
74,1,1.0,0.0,0.9993971840100652,1.0,0.99
75,1,0.6,0.2,0.2764851259214775,0.2,0.66
76,1,1.0,0.2,0.9883299938987176,0.4,0.57
77,1,0.4,0.0,0.017611289489515743,0.4,0.64
78,1,0.8,1.0,0.9999933493228133,0.6,0.9
79,1,1.0,0.6,0.9999643213780568,0.4,0.635
80,1,0.6,0.6,0.7578742731531222,0.6,0.54
81,1,0.8,0.2,0.009526836705913214,0.2,0.65
82,1,0.6,0.2,0.2837964069997541,0.0,0.43
83,1,0.8,0.2,0.1938245627786506,0.2,0.46
84,1,0.8,0.6,0.9993344044319478,0.4,0.59
85,1,1.0,0.2,0.4540206835466554,0.2,0.47
86,1,0.8,0.0,0.00856754569035405,0.4,0.71
87,1,0.8,0.8,0.9052264127909598,0.4,0.57
88,1,0.8,0.8,0.9998486915998942,1.0,0.72
89,1,0.4,0.2,1.2839123590743107e-05,0.0,0.46
90,1,1.0,1.0,0.9997141361834742,0.8,0.7
91,1,1.0,1.0,0.9999955240971355,1.0,0.98
92,1,1.0,1.0,0.9999643992306506,1.0,0.89
93,1,1.0,1.0,0.9999854699324024,1.0,0.9
94,1,0.8,0.8,0.9908677439232773,0.6,0.55
95,1,0.8,0.4,0.3038930186262543,0.8,0.52
96,1,1.0,1.0,0.9994458160603932,1.0,0.96
97,1,1.0,1.0,0.9999492076241692,1.0,0.94
98,1,1.0,1.0,0.9999609342793606,1.0,0.96
99,1,1.0,1.0,0.9999290166049342,1.0,0.91
100,1,1.0,1.0,0.9998712454666367,1.0,0.88
101,1,1.0,1.0,0.9999947565969416,1.0,1.0
102,1,1.0,1.0,0.9999714997981612,1.0,1.0
103,1,1.0,1.0,0.9999987598928028,1.0,1.0
104,1,1.0,1.0,0.9999955463511708,1.0,1.0
105,1,1.0,1.0,0.999988594163688,1.0,1.0
106,1,1.0,1.0,0.9999972958864984,1.0,1.0
107,1,1.0,1.0,0.9999986062848051,1.0,0.99
108,1,1.0,1.0,0.9999959956159392,1.0,1.0
109,1,1.0,1.0,0.999998301349718,1.0,1.0
110,1,1.0,1.0,0.9999993462801556,1.0,1.0
111,1,1.0,1.0,0.9999972025569246,1.0,1.0
112,1,1.0,1.0,0.9999988961605067,1.0,0.98
113,1,1.0,1.0,0.9999997387089672,1.0,0.97
114,1,1.0,1.0,0.9999682081003864,1.0,0.99
115,1,1.0,1.0,0.9999606688995636,1.0,1.0
116,1,1.0,1.0,0.9999518672254316,1.0,0.99
117,1,1.0,1.0,0.9999909821472384,1.0,0.97
118,1,1.0,1.0,0.9999794715609746,1.0,0.99
119,1,1.0,1.0,0.9999897150860168,1.0,1.0
120,1,1.0,1.0,0.9999975579618512,1.0,1.0
121,1,1.0,1.0,0.9999928028756032,1.0,0.98
122,1,1.0,1.0,0.99998939739519,1.0,1.0
123,1,1.0,1.0,0.9999821888864212,1.0,0.97
124,1,1.0,1.0,0.9778037054690418,1.0,0.68
125,1,1.0,1.0,0.9998847140426288,1.0,0.84
126,1,1.0,1.0,0.9999519956835756,1.0,0.84
127,1,1.0,1.0,0.9999319946530316,1.0,0.87
128,1,1.0,1.0,0.9991402737932932,1.0,0.67
129,1,0.4,1.0,0.9999566941738214,0.8,0.76
130,1,1.0,1.0,0.9999451846298792,1.0,0.9
131,1,1.0,0.6,0.9931361176977086,0.4,0.65
132,1,1.0,1.0,0.9999955653044966,1.0,1.0
133,1,0.0,0.2,0.5927248865985355,0.0,0.3
134,1,0.4,0.6,0.0004249863291781648,0.2,0.335
135,1,0.6,0.2,0.994723740976338,0.2,0.505
136,1,1.0,0.6,0.993878779351056,0.8,0.88
137,1,1.0,0.8,0.9996459275714058,0.8,0.9
138,1,1.0,1.0,0.92991180952107,0.6,0.68
139,1,1.0,0.8,0.9423946309830864,0.6,0.69
140,1,0.8,0.4,0.7220075068232845,0.4,0.67
141,1,1.0,0.8,0.9956256723344328,1.0,0.82
142,1,1.0,0.8,0.008947992326405396,0.2,0.66
