,class,KNN_PAAC,KNN_DPC,ERT_CKSAAGP,KNN_AAC,ANN_DPC,ANN_AAC,KNN_CKSAAGP,KNN_PHYC,XGB_DPC
98,1,1.0,1.0,0.95,1.0,0.999999752155346,0.9836528475256402,1.0,1.0,0.9997425675392152
99,1,1.0,1.0,0.98,1.0,0.9999998686236484,0.9930548508806644,1.0,0.8,0.9998291730880736
100,1,1.0,1.0,0.91,1.0,0.999996910039148,0.9665492852692924,1.0,0.8,0.9999253749847412
101,1,1.0,1.0,0.99,1.0,0.9999998555958568,0.9983760538416172,1.0,1.0,0.9997947812080384
102,1,1.0,1.0,1.0,1.0,0.9999994933679186,0.9997246568414688,1.0,1.0,0.9997542500495912
103,1,1.0,1.0,0.94,1.0,0.999997251000578,0.9955031637667054,1.0,0.8,0.9998728036880492
104,1,1.0,1.0,1.0,1.0,0.999999317094289,0.999153651817032,1.0,1.0,0.999835968017578
105,1,1.0,1.0,1.0,1.0,0.9999996085950792,0.999742673145694,1.0,1.0,0.9995885491371156
106,1,1.0,1.0,0.98,1.0,0.9999965378668731,0.9979079277318345,1.0,1.0,0.9997621178627014
107,1,1.0,1.0,1.0,1.0,0.999999369457275,0.9998968721971276,1.0,1.0,0.9999462366104126
108,1,1.0,1.0,1.0,1.0,0.9999993719722854,0.9999050096068478,1.0,1.0,0.9996033310890198
109,1,1.0,1.0,0.99,1.0,0.9999995959816751,0.9995249746393702,1.0,0.8,0.9996399879455566
110,1,1.0,1.0,0.95,1.0,0.9999963223377452,0.9981082041305366,1.0,1.0,0.9996904134750366
111,1,1.0,1.0,1.0,1.0,0.9999993868628548,0.9998040309761186,1.0,1.0,0.9996471405029296
112,1,1.0,1.0,0.98,1.0,0.9999952622960808,0.9794078477127738,1.0,1.0,0.9998847246170044
113,1,1.0,1.0,0.99,1.0,0.9999965585600741,0.9990980085434134,1.0,0.8,0.999444305896759
